model,accuracy,precision,recall,f1,roc_auc
XGB_scale_pos_weight,0.5784801136363636,0.23501110288675056,0.6740976645435244,0.34851811196487376,0.6667112571808835
LogisticRegression_balanced,0.6883877840909091,0.2578916021441334,0.4596602972399151,0.3304082411293399,0.665615168017963
RandomForest_SMOTE,0.8247514204545454,0.3448275862068966,0.05307855626326964,0.09199632014719411,0.6287074635919583
XGB_SMOTE,0.8291903409090909,0.4090909090909091,0.04777070063694268,0.08555133079847908,0.6610446403107302
RandomForest_balanced,0.8314985795454546,0.4507042253521127,0.03397027600849257,0.0631786771964462,0.6383949225664218
KNN_k25_distance,0.8318536931818182,0.42424242424242425,0.014861995753715499,0.028717948717948718,0.6126606503424642
LinearSVC_calibrated,0.8327414772727273,0.0,0.0,0.0,0.6488647526697722
